"IND310.Code.or.Value","IND310.Value.Description","IND310.Count","IND310.Cumulative","IND310.Skip.to.Item"
"1","$0 - $3,000",4687,4687,NA
"2","$3,001 - $5,000",513,5200,NA
"3","$5,001 - $10,000",440,5640,NA
"4","$10,001 - $15,000",177,5817,NA
"5","$15,001 - $20,000",83,5900,NA
"77","Refused",40,5940,NA
"99","Don't know",112,6052,NA
".","Missing",3202,9254,NA
