"BIXC014K.Code.or.Value","BIXC014K.Value.Description","BIXC014K.Count","BIXC014K.Cumulative","BIXC014K.Skip.to.Item"
"20.16 to 542.74","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
