"WBXF023.Code.or.Value","WBXF023.Value.Description","WBXF023.Count","WBXF023.Cumulative","WBXF023.Skip.to.Item"
"707.1068 to 707.1068","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
