"CBQ698i.Code.or.Value","CBQ698i.Value.Description","CBQ698i.Count","CBQ698i.Cumulative","CBQ698i.Skip.to.Item"
"9","I can't read English that well",21,21,NA
".","Missing",5243,5264,NA
