"WTSBA41.Code.or.Value","WTSBA41.Value.Description","WTSBA41.Count","WTSBA41.Cumulative","WTSBA41.Skip.to.Item"
"0 to 363049.91799","Range of Values",946,946,NA
".","Missing",65,1011,NA
