"WTSBA08.Code.or.Value","WTSBA08.Value.Description","WTSBA08.Count","WTSBA08.Cumulative","WTSBA08.Skip.to.Item"
"0 to 353089.06284","Range of Values",946,946,NA
".","Missing",65,1011,NA
