"DX2TSBMD.Code.or.Value","DX2TSBMD.Value.Description","DX2TSBMD.Count","DX2TSBMD.Cumulative","DX2TSBMD.Skip.to.Item"
"0.6 to 1.377","Range of Values",443,443,NA
".","Missing",42,485,NA
