"TBDPPDS.Code.or.Value","TBDPPDS.Value.Description","TBDPPDS.Count","TBDPPDS.Cumulative","TBDPPDS.Skip.to.Item"
"0 to 32","Range of Values",7386,7386,NA
".","Missing",1446,8832,NA
