"DX2LABMC.Code.or.Value","DX2LABMC.Value.Description","DX2LABMC.Count","DX2LABMC.Cumulative","DX2LABMC.Skip.to.Item"
"89.14 to 588.09","Range of Values",464,464,NA
".","Missing",21,485,NA
