"URXDBUP.Code.or.Value","URXDBUP.Value.Description","URXDBUP.Count","URXDBUP.Cumulative","URXDBUP.Skip.to.Item"
"0.0707 to 62.3","Range of Values",2799,2799,NA
".","Missing",187,2986,NA
