"WBXA001.Code.or.Value","WBXA001.Value.Description","WBXA001.Count","WBXA001.Cumulative","WBXA001.Skip.to.Item"
"-3.8933 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
