"BIXS008K.Code.or.Value","BIXS008K.Value.Description","BIXS008K.Count","BIXS008K.Cumulative","BIXS008K.Skip.to.Item"
"374.42 to 983.56","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
