"AUDTYL09.Code.or.Value","AUDTYL09.Value.Description","AUDTYL09.Count","AUDTYL09.Cumulative","AUDTYL09.Skip.to.Item"
"0 to 2.16","Range of Values",3834,3834,NA
".","Missing",666,4500,NA
