"LBCBB1LA.Code.or.Value","LBCBB1LA.Value.Description","LBCBB1LA.Count","LBCBB1LA.Cumulative","LBCBB1LA.Skip.to.Item"
"0.1697 to 107.4","Range of Values",265,265,NA
".","Missing",0,265,NA
