"WBXA040.Code.or.Value","WBXA040.Value.Description","WBXA040.Count","WBXA040.Cumulative","WBXA040.Skip.to.Item"
"-6.3987 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
