"DSQTPOTA.Code.or.Value","DSQTPOTA.Value.Description","DSQTPOTA.Count","DSQTPOTA.Cumulative","DSQTPOTA.Skip.to.Item"
"0.01 to 6750","Range of Values",876,876,NA
".","Missing",8378,9254,NA
