"DEX1CRFU.Code.or.Value","DEX1CRFU.Value.Description","DEX1CRFU.Count","DEX1CRFU.Cumulative","DEX1CRFU.Skip.to.Item"
"1","Yes",35,35,NA
"2","No",2661,2696,NA
".","Missing",296,2992,NA
