"SSFHA.Code.or.Value","SSFHA.Value.Description","SSFHA.Count","SSFHA.Cumulative","SSFHA.Skip.to.Item"
"0.19 to 3549.45","Range of Values",5911,5911,NA
".","Missing",0,5911,NA
