"DXXPT5X.Code.or.Value","DXXPT5X.Value.Description","DXXPT5X.Count","DXXPT5X.Cumulative","DXXPT5X.Skip.to.Item"
"734.8 to 1271.5","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
