"AGQ160.Code.or.Value","AGQ160.Value.Description","AGQ160.Count","AGQ160.Cumulative","AGQ160.Skip.to.Item"
"1","Yes",477,477,NA
"2","No",400,877,NA
"7","Refused",0,877,NA
"9","Don't know",0,877,NA
".","Missing",8945,9822,NA
