"SSTOXM.Code.or.Value","SSTOXM.Value.Description","SSTOXM.Count","SSTOXM.Cumulative","SSTOXM.Skip.to.Item"
"0.1 to 6.8","Range of Values",6424,6424,NA
".","Missing",154,6578,NA
