"PAQ759l.Code.or.Value","PAQ759l.Value.Description","PAQ759l.Count","PAQ759l.Cumulative","PAQ759l.Skip.to.Item"
"12","TENNIS",27,27,NA
".","Missing",9228,9255,NA
