"URXBUP.Code.or.Value","URXBUP.Value.Description","URXBUP.Count","URXBUP.Cumulative","URXBUP.Skip.to.Item"
"0.07 to 287.6","Range of Values",2651,2651,NA
".","Missing",152,2803,NA
