"SPXNFEV1.Code.or.Value","SPXNFEV1.Value.Description","SPXNFEV1.Count","SPXNFEV1.Cumulative","SPXNFEV1.Skip.to.Item"
"409 to 6923","Range of Values",6652,6652,NA
".","Missing",843,7495,NA
