"OSD110c.Code.or.Value","OSD110c.Value.Description","OSD110c.Count","OSD110c.Cumulative","OSD110c.Skip.to.Item"
"21 to 67","Range of Values",17,17,NA
"80","80 or older",0,17,NA
"777","Refused",0,17,NA
"999","Don't know",0,17,NA
".","Missing",3052,3069,NA
