"WBXP027.Code.or.Value","WBXP027.Value.Description","WBXP027.Count","WBXP027.Cumulative","WBXP027.Skip.to.Item"
"-32.8387 to 165.7168","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
