"WTSPP08.Code.or.Value","WTSPP08.Value.Description","WTSPP08.Count","WTSPP08.Cumulative","WTSPP08.Skip.to.Item"
"0 to 833954.90525","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
