"AUXU500R.Code.or.Value","AUXU500R.Value.Description","AUXU500R.Count","AUXU500R.Cumulative","AUXU500R.Skip.to.Item"
"-10 to 105","Range of Values",2613,2613,NA
"666","No response",1,2614,NA
"888","Could not obtain",264,2878,NA
".","Missing",253,3131,NA
