"PUD010.Code.or.Value","PUD010.Value.Description","PUD010.Count","PUD010.Cumulative","PUD010.Skip.to.Item"
"1","Yes",1951,1951,""
"2","No",7983,9934,"PUD041"
".","Missing",188,10122,""
