"DXDTRPF.Code.or.Value","DXDTRPF.Value.Description","DXDTRPF.Count","DXDTRPF.Cumulative","DXDTRPF.Skip.to.Item"
"10.1 to 56.4","Range of Values",3912,3912,NA
".","Missing",1202,5114,NA
