"AADFLSP.Code.or.Value","AADFLSP.Value.Description","AADFLSP.Count","AADFLSP.Cumulative","AADFLSP.Skip.to.Item"
"432 to 1363","Range of Values",6946,6946,NA
".","Missing",2494,9440,NA
