"DID070.Code.or.Value","DID070.Value.Description","DID070.Count","DID070.Cumulative","DID070.Skip.to.Item"
"1","Yes",616,616,NA
"2","No",505,1121,NA
"7","Refused",0,1121,NA
"9","Don't know",4,1125,NA
".","Missing",8541,9666,NA
