"DR2ICALC.Code.or.Value","DR2ICALC.Value.Description","DR2ICALC.Count","DR2ICALC.Cumulative","DR2ICALC.Skip.to.Item"
"0 to 2856","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
