"URDP19LC.Code.or.Value","URDP19LC.Value.Description","URDP19LC.Count","URDP19LC.Cumulative","URDP19LC.Skip.to.Item"
"0","At or above the detection limit",1806,1806,NA
"1","Below lower detection limit",438,2244,NA
".","Missing",105,2349,NA
