"RFXC058.Code.or.Value","RFXC058.Value.Description","RFXC058.Count","RFXC058.Cumulative","RFXC058.Skip.to.Item"
"-7.962 to 5.262","Range of Values",33700,33700,NA
".","Missing",21,33721,NA
