"AUDTYL82.Code.or.Value","AUDTYL82.Value.Description","AUDTYL82.Count","AUDTYL82.Cumulative","AUDTYL82.Skip.to.Item"
"0 to 0.66","Range of Values",3834,3834,NA
".","Missing",666,4500,NA
