"URDHCTLC.Code.or.Value","URDHCTLC.Value.Description","URDHCTLC.Count","URDHCTLC.Cumulative","URDHCTLC.Skip.to.Item"
"0","At or above detection limit",2608,2608,NA
"1","Below lower detection limit",78,2686,NA
".","Missing",293,2979,NA
