"LBCF10.Code.or.Value","LBCF10.Value.Description","LBCF10.Count","LBCF10.Cumulative","LBCF10.Skip.to.Item"
"3.253 to 12.02","Range of Values",288,288,NA
".","Missing",13,301,NA
