"WBXP046.Code.or.Value","WBXP046.Value.Description","WBXP046.Count","WBXP046.Cumulative","WBXP046.Skip.to.Item"
"-112.2908 to 162.6729","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
