"WTIREP01.Code.or.Value","WTIREP01.Value.Description","WTIREP01.Count","WTIREP01.Cumulative","WTIREP01.Skip.to.Item"
"0 to 238420.85936","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
