"FSD032B.Code.or.Value","FSD032B.Value.Description","FSD032B.Count","FSD032B.Cumulative","FSD032B.Skip.to.Item"
"1","Often true",577,577,NA
"2","Sometimes true",1919,2496,NA
"3","Never true",6265,8761,NA
"7","Refused",20,8781,NA
"9","Don't know",10,8791,NA
".","Missing",463,9254,NA
