"DBQ840.Code.or.Value","DBQ840.Value.Description","DBQ840.Count","DBQ840.Cumulative","DBQ840.Skip.to.Item"
"1","Always",749,749,NA
"2","Most of the time",672,1421,NA
"3","Sometimes",1076,2497,NA
"4","Rarely",737,3234,NA
"5","Never",1176,4410,NA
"7","Refused",0,4410,NA
"9","Don't know",1,4411,NA
".","Missing",5937,10348,NA
