"CIQG26.Code.or.Value","CIQG26.Value.Description","CIQG26.Count","CIQG26.Cumulative","CIQG26.Skip.to.Item"
"0 to 260","Range of Values",62,62,NA
"777","Refused",0,62,NA
"999","Don't know",0,62,NA
".","Missing",788,850,NA
