"WBXP051.Code.or.Value","WBXP051.Value.Description","WBXP051.Count","WBXP051.Cumulative","WBXP051.Skip.to.Item"
"-108.5764 to 178.9713","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
