"BPD110B.Code.or.Value","BPD110B.Value.Description","BPD110B.Count","BPD110B.Cumulative","BPD110B.Skip.to.Item"
"1","Yes",639,639,NA
"2","No",2886,3525,NA
"7","Refused",0,3525,NA
"9","Don't know",5,3530,NA
".","Missing",2683,6213,NA
