"WBXP049.Code.or.Value","WBXP049.Value.Description","WBXP049.Count","WBXP049.Cumulative","WBXP049.Skip.to.Item"
"-68.2359 to 174.0014","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
