"RFXT064.Code.or.Value","RFXT064.Value.Description","RFXT064.Count","RFXT064.Cumulative","RFXT064.Skip.to.Item"
"548 to 557","Range of Values",33699,33699,NA
".","Missing",22,33721,NA
