"CIQGPN.Code.or.Value","CIQGPN.Value.Description","CIQGPN.Count","CIQGPN.Cumulative","CIQGPN.Skip.to.Item"
"1","Yes",2,2,"CIQGPN"
"2","No",4,6,""
"7","Refused",0,6,""
"9","Don't know",0,6,""
".","Missing",844,850,""
