"OPXSPHDD.Code.or.Value","OPXSPHDD.Value.Description","OPXSPHDD.Count","OPXSPHDD.Cumulative","OPXSPHDD.Skip.to.Item"
"0","No",2954,2954,NA
"2","Yes",327,3281,NA
"9","No photos of eye",42,3323,NA
".","Missing",540,3863,NA
