"AUXR2KL.Code.or.Value","AUXR2KL.Value.Description","AUXR2KL.Count","AUXR2KL.Cumulative","AUXR2KL.Skip.to.Item"
"35 to 95","Range of Values",7,7,NA
"666","No response",2,9,NA
"888","Could not obtain",0,9,NA
".","Missing",3122,3131,NA
