"OPDURPE.Code.or.Value","OPDURPE.Value.Description","OPDURPE.Count","OPDURPE.Cumulative","OPDURPE.Skip.to.Item"
"0","No",3085,3085,NA
"1","Yes",104,3189,NA
".","Missing",674,3863,NA
