"WTSHM15.Code.or.Value","WTSHM15.Value.Description","WTSHM15.Count","WTSHM15.Cumulative","WTSHM15.Skip.to.Item"
"0.0000000 to 779916.2820600","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
