"WTSHM29.Code.or.Value","WTSHM29.Value.Description","WTSHM29.Count","WTSHM29.Cumulative","WTSHM29.Skip.to.Item"
"0.0000000 to 750138.4971700","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
