"CVDR2SY.Code.or.Value","CVDR2SY.Value.Description","CVDR2SY.Count","CVDR2SY.Cumulative","CVDR2SY.Skip.to.Item"
"70 to 261","Range of Values",2951,2951,NA
".","Missing",1712,4663,NA
