"WBXF034.Code.or.Value","WBXF034.Value.Description","WBXF034.Count","WBXF034.Cumulative","WBXF034.Skip.to.Item"
"971.5319 to 971.5319","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
