"ALD100.Code.or.Value","ALD100.Value.Description","ALD100.Count","ALD100.Cumulative","ALD100.Skip.to.Item"
"1","Yes",3138,3138,"ALQ120Q"
"2","No",1481,4619,""
"7","Refused",0,4619,""
"9","Don't know",1,4620,""
".","Missing",407,5027,""
