"DXXAGRAT.Code.or.Value","DXXAGRAT.Value.Description","DXXAGRAT.Count","DXXAGRAT.Cumulative","DXXAGRAT.Skip.to.Item"
"0.5 to 1.9","Range of Values",4048,4048,NA
".","Missing",1066,5114,NA
