"SSBR66.Code.or.Value","SSBR66.Value.Description","SSBR66.Count","SSBR66.Cumulative","SSBR66.Skip.to.Item"
"0.3 to 7.8","Range of Values",77,77,NA
".","Missing",1,78,NA
