"URDMB3LC.Code.or.Value","URDMB3LC.Value.Description","URDMB3LC.Count","URDMB3LC.Cumulative","URDMB3LC.Skip.to.Item"
"0","At or above the detection limit",2578,2578,NA
"1","Below lower detection limit",77,2655,NA
".","Missing",324,2979,NA
