"CBD130.Code.or.Value","CBD130.Value.Description","CBD130.Count","CBD130.Cumulative","CBD130.Skip.to.Item"
"0 to 1028","Range of Values",9979,9979,NA
"777777","Refused",11,9990,NA
"999999","Don't know",62,10052,NA
".","Missing",123,10175,NA
