"CIQP23.Code.or.Value","CIQP23.Value.Description","CIQP23.Count","CIQP23.Cumulative","CIQP23.Skip.to.Item"
"1","Yes",43,43,""
"2","No",9,52,"CIQP28"
"7","Refused",0,52,"CIQP28"
"9","Don't know",1,53,"CIQP28"
".","Missing",797,850,""
