"BAQ110.Code.or.Value","BAQ110.Value.Description","BAQ110.Count","BAQ110.Cumulative","BAQ110.Skip.to.Item"
"1","Yes",2650,2650,NA
"2","No",40,2690,NA
".","Missing",396,3086,NA
