"UR2UCRSI.Code.or.Value","UR2UCRSI.Value.Description","UR2UCRSI.Count","UR2UCRSI.Cumulative","UR2UCRSI.Skip.to.Item"
"972 to 48974","Range of Values",549,549,NA
".","Missing",6,555,NA
