"WBXA064.Code.or.Value","WBXA064.Value.Description","WBXA064.Count","WBXA064.Cumulative","WBXA064.Skip.to.Item"
"-1.0781 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
